district,crop,production,popularity_rank
Jalgaon,castor,0.4,13
Jalgaon,rice,0.3,14
Jalgaon,mustard,0.02,15
Jalgaon,ragi,0,16
Kolhapur,sugarcane,9557.38,1
Kolhapur,rice,2253.94,2
Kolhapur,soyabean,840.98,3
Kolhapur,groundnut,585.13,4
Kolhapur,jowar,251.73,5
Kolhapur,ragi,230.77,6
Kolhapur,maize,196.42,7
Kolhapur,wheat,118.56,8
Kolhapur,chickpea,57.59,9
Kolhapur,sunflower,10.32,10
Kolhapur,toor,2.41,11
Kolhapur,castor,0.35,12
Kolhapur,mustard,0.02,13
Kolhapur,sesame,0.01,14
Kolhapur,bajara,0,15
Kolhapur,cotton,0,16
Nagpur,soyabean,1028.78,1
Nagpur,wheat,1005.8,2
Nagpur,rice,879.85,3
Nagpur,toor,403.62,4
Nagpur,chickpea,388.75,5
Nagpur,cotton,298.93,6
Nagpur,sugarcane,106.53,7
Nagpur,jowar,27.16,8
Nagpur,groundnut,25.82,9
Nagpur,sunflower,10.47,10
Nagpur,maize,3.57,11
Nagpur,castor,0.44,12
Nagpur,mustard,0.3,13
Nagpur,sesame,0.14,14
Nagpur,bajara,0,15
Nagpur,ragi,0,16
Nanded,soyabean,1235.24,1
Nanded,sugarcane,781.87,2
Nanded,jowar,709.36,3
Nanded,chickpea,514.29,4
Nanded,cotton,488.75,5
Nanded,toor,327.53,6
Nanded,wheat,302.33,7
Nanded,maize,47.85,8
Nanded,groundnut,42.38,9
Nanded,sunflower,10.53,10
Nanded,rice,6.69,11
Nanded,sesame,3.37,12
Nanded,castor,1.28,13
Nanded,mustard,0.3,14
Nanded,bajara,0,15
Nanded,ragi,0,16
Nashik,maize,3759.95,1
Nashik,bajara,1107.14,2
Nashik,sugarcane,1038.18,3
Nashik,wheat,861.17,4
Nashik,rice,739.09,5
Nashik,soyabean,646.75,6
Nashik,chickpea,230.12,7
Nashik,groundnut,199.96,8
Nashik,ragi,186.28,9
Nashik,cotton,114.95,10
Nashik,jowar,65.71,11
Nashik,toor,36.46,12
Nashik,castor,3.66,13
Nashik,sunflower,0.23,14
Nashik,sesame,0.13,15
Nashik,mustard,0.1,16
Parbhani,soyabean,2220.42,1
Parbhani,jowar,1530.52,2
Parbhani,sugarcane,1267.22,3
Parbhani,chickpea,866.86,4
Parbhani,cotton,701.19,5
Parbhani,toor,593.53,6
Parbhani,wheat,539.46,7
Parbhani,maize,50.49,8
Parbhani,groundnut,47.71,9
Parbhani,bajara,14.3,10
Parbhani,sunflower,10.08,11
Parbhani,sesame,4.97,12
Parbhani,castor,3,13
Parbhani,rice,1.43,14
Parbhani,mustard,0.04,15
Parbhani,ragi,0,16
Pune,sugarcane,9247.03,1
Pune,wheat,909.58,2
Pune,jowar,872.18,3
Pune,maize,870.76,4
Pune,rice,827.76,5
Pune,chickpea,396.65,6
Pune,groundnut,300.66,7
Pune,bajara,200.02,8
Pune,soyabean,181.04,9
Pune,ragi,58.24,10
Pune,toor,8.66,11
Pune,sunflower,3.71,12
Pune,sesame,1.83,13
Pune,castor,0.03,14
Pune,cotton,0.01,15
Pune,mustard,0,16
Raigad,rice,2315.99,1
Raigad,ragi,53.84,2
Raigad,toor,4.08,3
Raigad,groundnut,3.01,4
Raigad,chickpea,2.97,5
Raigad,maize,0.57,6
Raigad,sesame,0.2,7
Raigad,wheat,0.01,8
Raigad,mustard,0.01,9
Raigad,jowar,0,10
Raigad,bajara,0,11
Raigad,castor,0,12
Raigad,sunflower,0,13
Raigad,soyabean,0,14
Raigad,sugarcane,0,15
Raigad,cotton,0,16
Ratnagiri,rice,3011.72,1
Ratnagiri,ragi,170.01,2
Ratnagiri,sugarcane,40.45,3
Ratnagiri,groundnut,36.58,4
Ratnagiri,toor,2.14,5
Ratnagiri,maize,0.88,6
Ratnagiri,sesame,0.23,7
Ratnagiri,mustard,0.07,8
Ratnagiri,chickpea,0.01,9
Ratnagiri,castor,0.01,10
Ratnagiri,wheat,0,11
Ratnagiri,jowar,0,12
Ratnagiri,bajara,0,13
Ratnagiri,sunflower,0,14
Ratnagiri,soyabean,0,15
Ratnagiri,cotton,0,16
Sangli,sugarcane,5424.75,1
Sangli,maize,960.32,2
Sangli,jowar,886.82,3
Sangli,soyabean,693.44,4
Sangli,wheat,338.71,5
Sangli,rice,249.94,6
Sangli,groundnut,202.23,7
Sangli,chickpea,143.17,8
Sangli,bajara,135.4,9
Sangli,toor,14.44,10
Sangli,sunflower,7.54,11
Sangli,cotton,4.18,12
Sangli,castor,0.86,13
Sangli,ragi,0.14,14
Sangli,sesame,0.11,15
Sangli,mustard,0.01,16
Satara,sugarcane,4605.62,1
Satara,jowar,1038.84,2
Satara,soyabean,681.86,3
Satara,rice,568.14,4
Satara,groundnut,458.24,5
Satara,wheat,445.26,6
Satara,maize,442.1,7
Satara,bajara,175.4,8
Satara,chickpea,154.83,9
Satara,ragi,47.55,10
Satara,sunflower,15.33,11
Satara,toor,3.43,12
Satara,cotton,0.53,13
Satara,castor,0.42,14
Satara,sesame,0.12,15
Satara,mustard,0.06,16
Solapur,sugarcane,8238.53,1
Solapur,jowar,1825.05,2
Solapur,maize,691.29,3
Solapur,wheat,335.51,4
Solapur,chickpea,174.31,5
Solapur,soyabean,92.15,6
Solapur,toor,71.09,7
Solapur,sunflower,55.4,8
Solapur,groundnut,37.6,9
Solapur,bajara,33.24,10
Solapur,cotton,1.49,11
Solapur,rice,0.6,12
Solapur,sesame,0.58,13
Solapur,castor,0.14,14
Solapur,mustard,0.06,15
Solapur,ragi,0.05,16
Thane,rice,2297.72,1
Thane,ragi,79.08,2
Thane,chickpea,21.15,3
Thane,toor,9.62,4
Thane,sesame,1.94,5
Thane,sunflower,1.25,6
Thane,groundnut,1.14,7
Thane,maize,0.5,8
Thane,wheat,0.26,9
Thane,mustard,0.01,10
Thane,jowar,0,11
Thane,bajara,0,12
Thane,castor,0,13
Thane,soyabean,0,14
Thane,sugarcane,0,15
Thane,cotton,0,16
Wardha,soyabean,917.37,1
Wardha,cotton,491.8,2
Wardha,toor,472.01,3
Wardha,chickpea,192.48,4
Wardha,wheat,183.58,5
Wardha,sugarcane,133.88,6
Wardha,groundnut,50.99,7
Wardha,jowar,22.44,8
Wardha,maize,2.17,9
Wardha,mustard,0.1,10
Wardha,sesame,0.06,11
Wardha,sunflower,0.01,12
Wardha,rice,0,13
Wardha,bajara,0,14
Wardha,ragi,0,15
Wardha,castor,0,16
Yeotmal,soyabean,1570.98,1
Yeotmal,cotton,836.51,2
Yeotmal,toor,744.23,3
Yeotmal,chickpea,419.92,4
Yeotmal,sugarcane,412,5
Yeotmal,wheat,309.04,6
Yeotmal,jowar,245.48,7
Yeotmal,groundnut,89.71,8
Yeotmal,maize,19.51,9
Yeotmal,sesame,0.83,10
Yeotmal,bajara,0.71,11
Yeotmal,castor,0.5,12
Yeotmal,rice,0.14,13
Yeotmal,ragi,0,14
Yeotmal,mustard,0,15
Yeotmal,sunflower,0,16
